source,song_name,artist,Classification,Mood,Video Theme,Instrument,Genre,BPM,LMM Description,Others,Useless
Artlist,I Remember - Short Version,Voices,Calm,"Love, Peaceful, Serious, Dramatic, Sad, Hopeful","Time-Lapse, Documentary, Landscape, Slow Motion","Piano, Pads","Ambient, Cinematic",118.0,The audio is a piano and violin duet playing a melancholic melody. The instruments are playing a slow tempo with a soft and warm sound. The genre of the audio is classical. This piece of music would be suitable for use in a romantic or nostalgic scene in a movie or a tv show. It could also be used as background music in a coffee shop or a restaurant.,nan,nan
Artlist,Infinite - Short Version,Kuyani,Vigorous,"Uplifting, Carefree, Hopeful, Groovy","Technology, Time-Lapse, Lifestyle, Urban, Drone Shots, Landscape, Travel","Synth, Keys, Electronic Drums, Pads","Electronic, Pop",90.0,"A cool and groovy synthwave track with a retro 80s vibe. Featuring vintage synths, analog drums and a catchy bassline. Perfect for vlogs, fashion, commercials, corporate videos, technology, sports, lifestyle, and more.",nan,nan
Artlist,Talk - Short Version,Alon Ohana,Serious,"Serious, Dramatic, Tense, Scary, Dark","Time-Lapse, Drone Shots, Slow Motion, Trailer","Strings, Bells, Synth, Backing Vocals, Keys, Pads","Ambient, Cinematic, Classical",114.0,Mysterious and dark cinematic track with a beautiful melody played by the celesta and strings. The strings give the feeling of a sad story and the celesta gives a feeling of a dreamy atmosphere.,nan,nan
Artlist,Emotional Piano and Percussion 1,Artlist Musical Logos,Serious,"Uplifting, Serious, Dramatic, Hopeful, Epic","Landscape, Travel, Shorts, Intros & Logos","Piano, Strings, Percussion, Synth",Cinematic,100.0,"A cinematic and suspenseful track with a strong orchestral feel, featuring piano, strings, and brass. The dramatic and suspenseful mood is perfect for use in film, TV, or video games, particularly in scenes of tension, action, or suspense. The track is also suitable for use in corporate or business videos, presentations, and other media projects that require a powerful and inspiring soundtrack.",nan,nan
Artlist,Oriental Rock Opener 2,Artlist Musical Logos,Agitated,"Uplifting, Hopeful, Exciting",Intros & Logos,"Electric Guitar, Acoustic Drums, Strings, Ethnic","Cinematic, World",105.0,"This is a powerful and epic cinematic track featuring a hybrid orchestral arrangement with strings, brass, choir, percussion, and powerful synths. The track starts with a cinematic intro and builds up to a powerful climax with epic drums, choir, and strings. The track is perfect for use in trailers, film, video games, and commercials.",nan,nan
Artlist,Synth and Whistle,Artlist Musical Logos,Dreamy,"Peaceful, Hopeful",Intros & Logos,"Piano, Whistle, Pads","Cinematic, Pop",122.0,"A peaceful and tranquil track featuring an Irish flute melody accompanied by a piano and atmospheric pads. Perfect for documentaries, nature videos, or advertising.",nan,nan
Artlist,Forever as a Melody - Short Version C,Assaf Ayalon,Dreamy,"Peaceful, Serious, Dramatic, Hopeful","Documentary, Road Trip, Medical, Landscape","Acoustic Guitar, Piano, Acoustic Drums, Strings","Cinematic, Acoustic, Folk",107.0,"A warm and gentle, organic folk track featuring acoustic guitar, piano, bass, and drums. The track evokes feelings of hope, inspiration, and happiness. It's perfect for advertising, corporate videos, business projects, presentations, and more.",nan,nan
Artlist,Wild - Short Version,Swirling Ship,Sad,"Love, Serious, Dramatic, Sad, Hopeful","Time-Lapse, Food, Documentary, Road Trip, Lifestyle, Nature, Slow Motion","Acoustic Guitar, Backing Vocals","Country, Acoustic, Indie, Folk",110.0,A melancholic and eerie acoustic guitar piece. Perfect for a dramatic scene or as a background for a sad moment.,nan,nan
Artlist,Its That Feeling - Instrumental Version,Ariel Shalom,Agitated,"Uplifting, Powerful, Carefree, Groovy, Exciting","Urban, Travel, Shorts","Percussion, Ethnic, Electronic Drums","World, Hip Hop",70.0,"This track is a very cool and energetic hip hop beat with an oriental flavor. The main instruments are the Turkish Oud and the traditional Turkish instrument called the Dumbek. The beat is very strong and energetic with a cool hip hop groove. This track is perfect for advertising, commercials, and video projects that need a cool and energetic hip hop beat with an oriental flavor.",nan,nan
Artlist,No Land for a War Man - Short Version A,Wild Tulip,Sad,"Serious, Dramatic, Sad","Time-Lapse, Documentary, Road Trip, Urban, Drone Shots, Landscape, Nature, Slow Motion",Piano,"Cinematic, Acoustic, Classical",101.0,"A beautiful, emotional piano solo that evokes feelings of longing and nostalgia. The melody is simple and heartfelt, making it perfect for use in films, documentaries, and personal projects.",nan,nan
Artlist,Oblivion Cult,Artlist Musical Logos,Agitated,"Uplifting, Powerful, Carefree, Groovy, Exciting","Technology, Sport & Fitness, Urban, Fashion, Industry, Travel, Commercial, Shorts, Intros & Logos","Electric Guitar, Acoustic Drums",Rock,83.0,"This is a powerful and energetic hard rock music track with catchy riffs, hard-hitting drums and a punchy bass. The powerful and energetic sound will make your video stand out and grab the attention of your audience. It will work well with action, sports, and commercials.",nan,nan
Artlist,Chapter 2 - Short Version A,The Places,Vigorous,"Uplifting, Happy, Carefree, Love, Playful, Hopeful, Exciting","Business, Food, Education, Lifestyle, Urban","Mandolin & Ukulele, Acoustic Guitar, Acoustic Drums, Percussion, Backing Vocals, Keys","Acoustic, Corporate",125.0,"A cool and groovy track featuring a warm bass, acoustic guitar, electric guitar, piano, and drums. The mood is upbeat and positive, with a catchy and inspiring melody. The genre is pop, with a touch of folk and indie. This track would be perfect for use in corporate videos, advertisements, and commercials, as well as in vlogs and lifestyle videos.",nan,nan
Artlist,Flow Free - Short Version,Manos Mars,Dreamy,"Uplifting, Carefree, Serious, Exciting","Business, Party, Fashion","Claps & Snaps, Bells, Synth, Keys, Pads","Cinematic, Electronic, Pop, Corporate",126.0,"A dreamy, reflective, and introspective indie pop track featuring electric guitar, strings, and piano. The soft and gentle instrumentation evokes a sense of longing and introspection, creating a calming and reflective mood. The track's gentle melody and harmonies make it suitable for use in cinematic moments, romantic scenes, or moments of contemplation. It could also work well in advertisements, vlogs, or YouTube videos that require a relaxed and emotional soundtrack.",nan,nan
Artlist,Rancid Life - Short Version C,The Mind Sweepers,Agitated,"Powerful, Carefree, Serious, Angry, Exciting","Road Trip, Sport & Fitness, Urban, Fashion, Industry","Electric Guitar, Acoustic Drums, Synth",Rock,107.0,"A fun and upbeat rock track featuring electric guitars, bass, and drums. The catchy guitar riff and upbeat drums create a lively and energetic mood that is perfect for use in commercials, advertisements, and videos that need a boost of energy. The track is also suitable for use in sports, fitness, and workout videos as it motivates and inspires listeners to push themselves to their limits.",nan,nan
Artlist,Mandolin Guitars,Artlist Musical Logos,Calm,"Uplifting, Love, Peaceful, Hopeful","Business, Lifestyle, Medical, Drone Shots, Landscape, Nature, Weddings, Shorts, Intros & Logos","Mandolin & Ukulele, Acoustic Guitar, Bass","Country, Cinematic",120.0,"This is a beautiful, calm, and relaxing acoustic guitar background music. It features a soft acoustic guitar strumming with gentle bass and piano accompaniment. The music is perfect for background music, vlogs, YouTube videos, advertising, marketing, and more.",nan,nan
Artlist,Dreaming - Short Version,Stanley Gurvich,Calm,"Peaceful, Hopeful","Time-Lapse, Documentary, Landscape, Slow Motion",Bells,"Ambient, Electronic",117.0,"A serene and contemplative ambient track featuring a delicate electric piano melody and subtle synth pads. This music has a calm and peaceful mood, making it suitable for scenes of reflection, contemplation, or quiet moments. It could also work well in documentaries, nature footage, or yoga videos.",nan,nan
Artlist,The Truth Is Close,Artlist Musical Logos,Serious,"Serious, Dramatic, Dark","Technology, Science, Intros & Logos","Synth, Pads",Electronic,115.0,"A dark and suspenseful piece of electronic music with a tense atmosphere, perfect for cinematic moments, thrillers, and action scenes. The piano and strings provide a sense of drama and tension, while the pulsing beats and electronic elements create a sense of unease and anticipation. This music would be suitable for use in film, television, and video games.",nan,nan
Artlist,Emotional String Section Intro,Artlist Musical Logos,Serious,"Serious, Dramatic, Hopeful, Epic, Mysterious","Drone Shots, Landscape, Slow Motion, Shorts, Intros & Logos","Strings, Bells, Orchestra","Cinematic, Fantasy",74.0,"This is a dramatic and emotional orchestral theme with a strong sense of awe and wonder. The music opens with a lush and sweeping string melody that builds into a full orchestral tutti. The theme is dramatic and intense, with a sense of grandeur and majesty. The music is perfect for use in film, television, and video games that require a sense of wonder and awe.",nan,nan
Artlist,Cyber Warfare,Artlist Musical Logos,Serious,"Serious, Dramatic, Tense, Dark","Drone Shots, Landscape, Slow Motion, Shorts, Intros & Logos","Strings, Bells, Orchestra","Cinematic, Fantasy",81.0,"A dark and intense track with heavy guitars, bass, drums, and synths. The mood is suspenseful and ominous, with a feeling of danger and uncertainty. The main instruments are guitars, bass, drums, and synths. The genre/style is electronic, soundtrack, and instrumental. Suitable video or media use cases could include horror movies, thrillers, video games, and suspenseful scenes in movies or TV shows.",nan,nan
Artlist,The Valley Man - Short Version A,Alon Ohana,Happy,"Uplifting, Happy, Carefree, Love, Peaceful, Playful, Hopeful","Food, Education, Lifestyle, Medical, Drone Shots, Landscape, Nature, Travel","Mandolin & Ukulele, Acoustic Guitar, Percussion, Claps & Snaps, Whistle, Electronic Drums","World, Pop, Children, Corporate",105.0,"A soft and warm music track with a whistling melody, acoustic guitar, piano, and a groovy hip-hop beat. The relaxed and gentle mood will evoke feelings of happiness and joy. It will certainly work well with corporate videos, business projects, presentations, commercials, advertising, TV ads, YouTube videos, vlogs, and more.",nan,nan
Artlist,Dobro Band 2,Artlist Musical Logos,Happy,"Uplifting, Happy, Carefree, Hopeful","Road Trip, Lifestyle, Landscape, Nature, Travel, Shorts, Intros & Logos","Mandolin & Ukulele, Acoustic Guitar, Electric Guitar, Acoustic Drums","Country, Folk",84.0,"A happy and carefree acoustic guitar plays a simple melody while a bass guitar and steady drum beat keep the rhythm. A pedal steel guitar plays a slide melody that adds a country feel to the track. The track has a laid back, relaxed vibe that is perfect for a summer day or a road trip. It would work well in a commercial for a car or a beer company.",nan,nan
Artlist,Northern Saints - Short Version A,LMOP,Vigorous,"Uplifting, Happy, Carefree, Serious","Food, Education, Road Trip, Travel","Mandolin & Ukulele, Acoustic Drums","Country, Acoustic, Folk",77.0,"A quirky, energetic and playful folk track featuring acoustic guitars, mandolin, banjo, bass and drums. Perfect for advertising, commercials, children's videos, corporate presentations, travel, documentaries, YouTube videos, vlogs, and more.",nan,nan
Artlist,Event Ceremony Logo,Artlist Musical Logos,Dreamy,"Uplifting, Carefree, Exciting","Technology, Lifestyle, Travel, Commercial, Vlog, Shorts, Intros & Logos","Synth, Keys","Electronic, Pop",78.0,"This is a powerful, energetic and dynamic royalty free electronic track with a modern vibe, featuring a powerful synth bass, big hits, plucks, and a catchy lead melody. Perfect for action, sports, trailers, games, or any other media projects that need a powerful and energetic soundtrack.",nan,nan
Artlist,Positive Persistent Pluck Sequence 2,Artlist Musical Logos,Vigorous,"Uplifting, Happy, Carefree, Groovy, Exciting","Party, Fashion, Commercial, Intros & Logos","Synth, Backing Vocals, Electronic Drums",Electronic,125.0,"A groovy and energetic royalty free electronic track with cool piano, groovy bass, punchy drums, and vocal chops. Great for commercials, vlogs, sport videos, fashion, or workout content.",nan,nan
Artlist,Melancholic Sonata,Artlist Musical Logos,Sad,"Love, Dramatic, Sad",Intros & Logos,Piano,"Cinematic, Classical",116.0,"The audio is a solo piano performance of a short, ominous melody. The piece is slow and dramatic, with a sense of tension and foreboding. The piano is played with a deep, rich tone, and the melody is played with a sense of melancholy and sadness. The piece would be well-suited for use in a horror film or video game, as it creates a tense and unsettling atmosphere.",nan,nan
Artlist,Call from the Hills - Short Version B,Wild Tulip,Sad,"Love, Serious, Dramatic, Sad, Hopeful","Time-Lapse, Documentary, Road Trip, Landscape, Slow Motion",Piano,Cinematic,123.0,"A sentimental, nostalgic, and emotional piano solo with a sentimental and nostalgic mood. The main instruments are the piano. The genre/style is soundtrack, classical, and folk. This music is suitable for nostalgic, sentimental, and emotional scenes in movies, documentaries, and advertisements.",nan,nan
Artlist,Space Race - Short Version,Dan Ayalon,Sad,"Serious, Dramatic, Sad",Science,"Acoustic Guitar, Bells, Synth","Ambient, Cinematic",65.0,"A mysterious and tense music track featuring acoustic guitar, strings, and percussion. The music is suspenseful and evokes a sense of intrigue and danger. The guitar is strummed with a steady rhythm, while the strings add a lush and dramatic sound. The percussion provides a subtle beat that keeps the music moving forward. The music is perfect for use in films, TV shows, and video games that require a sense of tension and mystery.",nan,nan
Artlist,Otherworldly Tales Logo,Artlist Musical Logos,Serious,"Love, Dramatic, Dark, Mysterious","Time-Lapse, Documentary, Landscape, Slow Motion, Shorts, Intros & Logos","Piano, Strings, Backing Vocals, Pads","Ambient, Cinematic",75.0,"A dark, suspenseful, and dramatic track featuring piano, strings, and synths. The atmosphere is tense and unsettling, perfect for horror, suspense, and thriller projects.",nan,nan
Artlist,The Valley Man - Short Version B,Alon Ohana,Happy,"Happy, Carefree, Love, Playful, Hopeful","Business, Time-Lapse, Food, Education, Lifestyle, Urban, Travel","Mandolin & Ukulele, Electric Guitar, Percussion, Claps & Snaps, Whistle, Backing Vocals, Electronic Drums","Cinematic, Children, Corporate",105.0,"A chill-out track with flute and synth. The mood is peaceful and relaxed. The main instruments are flute, synth, and percussion. The genre/style is instrumental, soundtrack, ambient. This track can be used in the background of a travel vlog, a meditation video, or a yoga session.",nan,nan
Artlist,Warm Jamaica,Tomer Ben Ari,Vigorous,"Uplifting, Happy, Carefree, Playful","Food, Road Trip, Lifestyle, Fashion, Drone Shots, Landscape, Nature, Travel","Electric Guitar, Acoustic Drums, Percussion, Backing Vocals, Keys, Brass",Reggae,97.0,"The audio is a reggae song featuring a brass section, bass, and drums. The song is medium tempo with a groovy bass line and brass section melody. The song is a happy and fun reggae song with a catchy melody. This song would be perfect for a scene in a tropical island setting, such as a beach party or a summer vacation.",nan,nan
Artlist,Freaky Boy,Damon Power,Vigorous,"Uplifting, Carefree, Groovy","Urban, Fashion, Commercial","Synth, Backing Vocals, Electronic Drums, Bass","Electronic, Hip Hop",130.0,"A trendy, upbeat, and energetic hip-hop instrumental with a catchy flute melody, hard-hitting drums, and a danceable beat. The mood is upbeat and celebratory, with a strong sense of confidence and self-assuredness. The main instruments include the flute, drums, and bass. The genre/style is hip-hop, trap, and dance. This instrumental would be perfect for use in commercials, vlogs, and workout videos.",nan,nan
Artlist,Wonders of the Universe,Artlist Musical Logos,Serious,"Dramatic, Tense, Mysterious","Documentary, Shorts, Intros & Logos","Strings, Bells, Orchestra, Brass",Cinematic,130.0,"A mysterious and suspenseful orchestral track featuring strings, woodwinds, brass, and percussion. The music is slow and building, with a sense of tension and anticipation. The piece is ideal for use in film, television, and video games, particularly in scenes of intrigue, investigation, and mystery.",nan,nan
Artlist,Fortitude - Short Version,Lance Conrad,Serious,"Uplifting, Serious, Dramatic, Hopeful, Exciting","Business, Technology, Time-Lapse, Lifestyle, Urban, Industry, Landscape, Shorts","Piano, Strings, Orchestra, Brass",Cinematic,128.0,"A cinematic track that builds from a minimal piano and strings introduction to a full orchestral crescendo. Perfect for trailers, film, TV, games, advertising, and more.",nan,nan
Artlist,Counter,Artlist Musical Logos,Serious,"Serious, Angry, Tense, Scary, Dark","Trailer, Intros & Logos","Synth, Electronic Drums, Bass",Cinematic,90.0,"A dark, intense, and powerful cinematic track featuring heavy percussion, synths, and strings. The track is perfect for use in film, trailers, and video games, creating a sense of tension and drama.",nan,nan
Artlist,Day One - Short Version A,Swirling Ship,Dreamy,"Uplifting, Carefree, Serious, Hopeful","Business, Education, Road Trip, Medical","Mandolin & Ukulele, Acoustic Guitar, Acoustic Drums, Percussion, Keys, Bass","Acoustic, Folk, Corporate",98.0,"A positive and uplifting instrumental featuring piano, ukulele, guitars, bass, drums, and percussion. The uplifting and inspirational mood will evoke feelings of joy, happiness, and positivity. This track is perfect for use in corporate videos, commercials, advertisements, movie soundtracks, and more.",nan,nan
Artlist,Shaal Region - Short Version,Swirling Ship,Calm,"Carefree, Love, Peaceful, Playful, Hopeful","Business, Food, Education, Documentary, Road Trip, Medical, Nature, Weddings, Travel","Acoustic Guitar, Piano, Acoustic Drums","Cinematic, Acoustic, Folk",120.0,"A calm and warm acoustic guitar track that evokes feelings of happiness and positivity. The simple and melodic guitar picking is accompanied by a steady beat and subtle bass line. The gentle and soothing nature of this track makes it perfect for use in videos, commercials, and other media that require a calming and uplifting background.",nan,nan
Artlist,Take Off - Short Version B,Swirling Ship,Dreamy,"Serious, Dramatic, Hopeful","Time-Lapse, Documentary, Medical, Slow Motion","Piano, Strings, Percussion","Cinematic, Acoustic",128.0,"A modern, confident and uplifting piece of music that builds throughout, featuring piano, strings, drums and a light electronic beat.",nan,nan
Artlist,We Will Get There - Short Version A,Dan Ayalon,Vigorous,"Uplifting, Carefree, Hopeful",Road Trip,"Acoustic Guitar, Claps & Snaps","Acoustic, Folk, Corporate",89.0,"A cheerful and upbeat acoustic track with acoustic guitar, piano, claps, tambourine, and drums. The optimistic and uplifting mood will evoke feelings of happiness and joy. It will certainly work well with corporate videos, business projects, presentations, commercials, advertising, TV ads, YouTube videos, vlogs, and more.",nan,nan
Artlist,Promised Land - Short Version B,Dan Ayalon,Agitated,"Serious, Dramatic, Angry, Groovy","Road Trip, Urban","Electric Guitar, Acoustic Drums, Vocal, Backing Vocals","Indie, Rock",65.0,"A groovy, upbeat, and energetic garage rock track with a catchy and melodic guitar riff, groovy bass, and punchy drums. The song has a lively and energetic vibe with a strong and powerful chorus. The genre of the song is garage rock, which is a subgenre of rock music that originated in the 1960s and 1970s in the United States. The song is perfect for use in commercials, advertising, and media that needs a high-energy and upbeat soundtrack.",nan,nan
Artlist,New World - Short Version B,Ziv Moran,Sad,"Love, Peaceful, Serious, Dramatic, Sad, Hopeful","Time-Lapse, Road Trip, Urban, Landscape, Slow Motion","Electric Guitar, Piano, Acoustic Drums, Strings, Keys","Acoustic, Indie",73.0,A slow and reflective indie rock instrumental with a sense of longing and introspection. The guitar is the main instrument and it is accompanied by a simple beat and some strings. The mood is somber and contemplative.,nan,nan
Artlist,Variations on Ah vous dirai-je Maman - Var 3,Raviv Leibzirer,Humorous,"Playful, Funny","Education, Nature",Piano,Classical,162.0,This is a fast and lively ragtime piece. It is being played on a piano. It is a very energetic and playful piece. It would be good for a scene in a comedy movie where someone is trying to get out of a difficult situation. It could also be used in a video game to add some excitement and energy to the gameplay.,nan,nan
envato,Energetic Funky Intro,Tonydrumer,Vigorous,"catchy, cool, energetic, fun, funky, groove, positive, upbeat, uplifting","action, advertising, agent, commercial, intro, investigation, late night show, logo, opener, spy, tv show, vlog","brass, drums, horns","big band, breakbeat, funk, retro",110.0,"Get groovy with this funky and upbeat royalty-free music track, featuring catchy guitar riffs, groovy bass lines, energetic drums, and fun horns. Perfect for use in advertising, TV commercials, movies, trailers, video games, and more.",james bond,radio
envato,Greatest Epic Opener,ArchitectSound,Agitated,"apocalyptic, dark, dramatic, emotional, energetic, epic, heroic, inspirational, intense, legendary, majestic, monumental, powerful, rising, suspense, tension, triumphant, uplifting, victory","action, adventure, battle, blockbuster, hollywood, trailer",,"cinematic, cyberpunk, fantasy, orchestral",,"This is a powerful cinematic track with a dramatic and epic atmosphere. It features a full orchestra with strings, brass, woodwinds, and percussion. The main instruments are the strings and the brass, which create a powerful and majestic sound. The track is perfect for film, television, and video games. It is also suitable for advertising, marketing, and corporate videos.",soundtrack,
envato,Happy Halloween 4,Anandavana,Humorous,"celebrate, cheerful, funny, happy, haunted, mystical, playful, positive, simple, uplifting","cartoon, castle, comedy, halloween, movie, night, show, trailer, trick or treat, tv, vampire, witch","crotales, harpsichord, pizzicato","children, holiday",144.0,"A fast-paced, playful piece with a mischievous vibe. Features pizzicato strings, woodwinds, and harpsichord. Great for comedies, cartoons, and Halloween projects.",,"crafty, ident, music"
envato,Minor Ragtime Loop,EasyTunes,Happy,"cheerful, comical, funny, happy, humorous, joyful, laughter, mischievous, smile","bar, dancing, historical, joke, kids, movement, old film, old movie, old recording, saloon",piano,"dance, early jazz, jazz, retro, ragtime, swing",195.0,"A happy and playful ragtime piano piece. Perfect for funny videos, retro games, cartoons, comedy, or any project that needs a fun and cheerful retro piano sound.","loop, new orleans, parody",
envato,Sad Piano,PineAppleMusic,Sad,"agony, deep, depress, emotional, gentle, intimacy, lonely, love, melancholy, mellow, memories, nostalgic, quiet, sad, sadness, sensitive, sentimental, slow, sorrowful, thoughtful, touching, warm","autumn, winter",piano,"ballad, classical, drama",90.0,"A subtle, delicate and thoughtful piano piece with subtle synth textures. Calm, thoughtful and reflective.",lyrical,
envato,The Happy Intro,Korolkov,Vigorous,"elegant, energetic, powerful","advertising, fitness, beach, blog, business, commercial, game, jog, instagram, intro, landscape, opener, presentation, promo, sport, summer, traveling, vlog",drone,"corporate, electronic, future bass, trap",150.0,"A modern, upbeat and stylish electronic track with a dynamic and powerful sound. The track features catchy synthesizers, a powerful beat, and a groovy bassline. The mood of the track is energetic, uplifting, and inspiring. This track is perfect for use in commercials, advertisements, and promotional videos. It will also work well in sports videos, fitness videos, and vlogs.",modern,"review, tik-tok, youtube"
envato,For Kids,Eugene_Barduja,Happy,"carefree, cheerful, easy, happy, inspirational, joyful, merry, motivational, optimistic, playful, positive, succesful, success","ad, advert, advertising, advertisment, commercial","claps, guitar, organ","acoustic, children, corporate",130.0,"A happy and cheerful track with ukulele, whistle, claps, bass, and drums. It's perfect for corporate videos, commercials, advertisements, podcasts, and more.",,background
envato,Sad Cinematic Background Loop,bdProductions,Sad,"emotional, sad, inspiring, bittersweet",podcast,piano,cinematic,56.0,"A sad and dramatic piece with a solo piano, a double bass, and a choir. The atmosphere is very dramatic and suspenseful.",loop,"background, voiceover, youtube"
envato,Inspiration,Stockwaves,Calm,"calm, creative, emotional, energy, hopeful, innovative, inspiring, joyful, motivational, optimistic, positive, smooth, successful, uplifting, wonderful","advertising, business, commercial, presentation, technology, travel","piano, strings","acoustic, corporate",102.0,"A sentimental and emotional piano and orchestra piece that evokes feelings of love, nostalgia, and wonder. The lush strings and warm piano create a romantic and heartfelt atmosphere, while the gentle bells add a touch of magic and wonder. This piece would be perfect for a wedding scene, a romantic montage, or a nostalgic memory.",modern,video
envato,Childrens Loop,plastic3,Dreamy,"beautiful, celebration, fun, happy, joyful, optimistic, positive","family, game, kids, logo, opening, party, santa, instagram",bells,"children, corporate, holiday",140.0,"This upbeat electronic track features a warm piano melody, groovy bass, and a punchy beat. It has a positive and uplifting mood that is perfect for corporate videos, business projects, presentations, commercials, advertising, TV ads, YouTube videos, vlogs, and more.","christmas, jingle, loop, xmas","background, youtube, music, tiktok, ringtone, video, website"
envato,Power Up,Adigold,Agitated,"motivational, upbeat, positive, powerful, dynamic, fresh, lively, rhythmic, exciting, groovy, energetic, pumping, electrifying, vibrant, intense, uplifting, inspiring, exhilarating",driving,"beat, synth",,130.0,"This is a dynamic and powerful royalty-free dubstep logo with a lot of energy and punchy beats. The track features edgy synths, bass, percussion, and sound effects. It is ideal for action scenes, extreme sports, games, and trailers.","modern, melody","twitch, youtubers"
envato,Creeping Prank,Nuclearmetal,Humorous,"crazy, creepy, dark, enchanted, fear, fun, inspiring, intense, magic, mystery, nightmare, power, quirky, scary, sneaky, spooky, terrifying","cartoon, comedy, halloween, intro, kids, movie, prank","bells, orchestra, strings",horror,,"A short, quirky and funny track featuring glockenspiel, vibraphone, pizzicato strings, and other quirky instruments. It has a playful, sneaky, and funny mood.",loop,background
envato,Horror Trailer,OhmLab,Serious,"suspense, scary, freaky, haunting, chilling, atmospheric, creepy, psychological, fear, fright, frightful, dark, haunted, ghost, terrifying, eerie, sinister, spooky","zombie, trailer, commercial, movie, thriller, action, halloween",,"horror, cinematic",145.0,"Dark and eerie atmospheric soundscape. Scary horror soundtrack with dark ambient sound effects. Scary horror background music with creepy atmospheric sounds. Perfect for cinematic horror, scary scenes, tension, horror trailers, suspense, fear, horror movies, halloween, and more.","soundscape, soundtrack",background
envato,Convicted,Purpleplanet,Serious,"dramatic, epic, tense, tension, finale, danger, dangerous, final, nervous, adrenaline","cliff hanger, scene, film, short, series, tv",strings,"drama, orchestral",,A cinematic and orchestral piece that evokes the feeling of a dramatic news report. The piece opens with a slow and steady string melody that is joined by a brass melody and a deep timpani roll. The music then builds to a crescendo and ends with a powerful and epic string melody.,,"ending, climatic, climax, production, music, background, dominant, conclusion"
envato,Happy Snowflake,scottwills,Calm,"happy, positive, carefree, childlike, magical, innocence, peaceful, free, wonder, delicate, love, loving, lovely","fairy, presentation",piano,classical,100.0,"A soft and warm piano track, full of emotions and tender feelings. This music is suitable for background music, romantic scenes, and touching moments.",,"video, web"
envato,Upbeat Jazz Intro,Tonydrumer,Vigorous,"carefree, easy, fast, fresh, fun, funny, happy, joy, upbeat","advertise, comedy, commercial, cooking, explainer, food, kids, short, show","guitar, piano, trumpet","big band, children, jazz, swing",115.0,"This upbeat, groovy, and funky track features a catchy bass line, groovy drums, and a catchy guitar riff. The brass section adds a festive and celebratory feel to the track. The song is perfect for advertising, commercials, and corporate videos that need a fun and upbeat soundtrack.",modern,"background, hey"
envato,Documentary Background Loop,bdProductions,Serious,"atmospheric, dramatic, gentle, inspiring, light",documentary,piano,ambient,108.0,"A smooth and ambient electronic track featuring a marimba, bass, drums, and various synth textures. The mood is relaxed and easygoing, with a subtle sense of tension. This track is good for technology, science, and documentaries.",loop,"background, voiceover, youtube"
envato,Circus Game,WormwoodMusic,Humorous,cartoonish,"arcade, cartoon, circus, clown, clowns, comedy, game, gameplay, main menu, menu, pirate, video game","accordeon, mandolin",tarantella,130.0,"A fun and quirky track with a retro vibe. Featuring a bouncy bass, plucky ukulele, quirky trumpets, and playful percussion. Great for comedies, cartoons, and kids' shows.","greek, italian, loop, pasta, pizza","platform, wine"
envato,Deck The Halls Intro Opening,ABSounds,Dreamy,"merry, festive, bright, magic, celebration, solemn, inspiring, triumphant","deck the halls, opening, winter, santa, snow, intro, merry christmas, grand opening, grand christmas, christmas opening, advertising, new year, opener","fanfare, bells, sleigh bells","carol, holiday, orchestral",155.0,"A powerful and dramatic orchestral Christmas track with bells, piano, strings, brass, choir, and drums. Perfect for advertising, Christmas videos, TV, and more.","christmas, xmas, jingle bells",
envato,Learn Grow,gballx,Dreamy,"joyous, love, lovingly, positive, soft, sweet, tender, uplifting, warm","advert, baby, child, kids, promo","piano, pizzicato",children,112.0,"A short, simple, and light piano piece. The music has a warm and gentle feeling, with a subtle, but memorable melody. The piano plays the melody, with strings and harp adding a gentle background. The music is perfect for commercials, advertisements, and other corporate uses.",,
envato,Spring Acoustic Guitar,VICTORMUSIC,Calm,"bright, carefree, cheerful, happy, inspirational, inspiring, joyful, light, motivational, optimistic, peaceful, positive, simple, upbeat, uplifting","advert, advertisement, advertising, animation, commercial","acoustic guitar, bells, fingerstyle, guitar","acoustic, corporate, indie",80.0,"A soft and warm, acoustic folk royalty free music track, with a guitar, piano, glockenspiel, bells, bass and drums, best for ads, family, nature, vlogs, and romance.",jingle,background
envato,Summer Opener Podcast Intro,PaBlikMM,Happy,"inspiring, happy, fun, play, sunny, chilling, chill, peaceful, groove","summer, opener, trailer, vlog, intro, vacation, kids, beach, sun, sea, seaside, coast","ukulele, guitar, percussion","holiday, children",110.0,"This one is a groovy, upbeat, upbeat, positive royalty-free summer pop track, with funky guitars, claps, cool bass, vocal chops, claps, whistle, and drums, best for vlogs, advertising, promos, travel, lifestyle, or cooking contents.",,"sand, waves"
envato,Ready Go!,PaBlikMM,Vigorous,"funky, upbeat, happy, funny, groovy, groove, motivational","opener, trailer, intro, sport, summer, spring, commercial, advertising, brand, short clip, ad","clapping, hammond, guitar, drums",funk,120.0,"A groovy, funky and upbeat track featuring funky guitars, bass, drums, brass and horns. It has a catchy and uplifting feel that will get your foot tapping and your body moving. It would be great for use in advertising, commercials, sports, or any project that needs a fun and upbeat background track.",,"videos, clips, app"
