source,song_name,song_by,Classification,Mood,Video Theme,Instrument,Genre,BPM,LMM Description,Number,
Artlist,Talk - Short Version,Alon Ohana,Serious,"Serious, Dramatic, Tense, Scary, Dark","Time-Lapse, Drone Shots, Slow Motion, Trailer","Strings, Bells, Synth, Backing Vocals, Keys, Pads","Ambient, Cinematic, Classical",114,Mysterious and dark cinematic track with a beautiful melody played by the celesta and strings. The strings give the feeling of a sad story and the celesta gives a feeling of a dreamy atmosphere.,62,
Artlist,Emotional Piano and Percussion 1,Artlist Musical Logos,Serious,"Uplifting, Serious, Dramatic, Hopeful, Epic","Landscape, Travel, Shorts, Intros & Logos","Piano, Strings, Percussion, Synth",Cinematic,100,"A cinematic and suspenseful track with a strong orchestral feel, featuring piano, strings, and brass. The dramatic and suspenseful mood is perfect for use in film, TV, or video games, particularly in scenes of tension, action, or suspense. The track is also suitable for use in corporate or business videos, presentations, and other media projects that require a powerful and inspiring soundtrack.",63,
Artlist,Oriental Rock Opener 2,Artlist Musical Logos,Agitated,"Uplifting, Hopeful, Exciting",Intros & Logos,"Electric Guitar, Acoustic Drums, Strings, Ethnic","Cinematic, World",105,"This is a powerful and epic cinematic track featuring a hybrid orchestral arrangement with strings, brass, choir, percussion, and powerful synths. The track starts with a cinematic intro and builds up to a powerful climax with epic drums, choir, and strings. The track is perfect for use in trailers, film, video games, and commercials.",64,
Artlist,Synth and Whistle,Artlist Musical Logos,Dreamy,"Peaceful, Hopeful",Intros & Logos,"Piano, Whistle, Pads","Cinematic, Pop",122,"A peaceful and tranquil track featuring an Irish flute melody accompanied by a piano and atmospheric pads. Perfect for documentaries, nature videos, or advertising.",65,
Artlist,Forever as a Melody - Short Version C,Assaf Ayalon,Dreamy,"Peaceful, Serious, Dramatic, Hopeful","Documentary, Road Trip, Medical, Landscape","Acoustic Guitar, Piano, Acoustic Drums, Strings","Cinematic, Acoustic, Folk",107,"A warm and gentle, organic folk track featuring acoustic guitar, piano, bass, and drums. The track evokes feelings of hope, inspiration, and happiness. It's perfect for advertising, corporate videos, business projects, presentations, and more.",66,
Artlist,Wild - Short Version,Swirling Ship,Sad,"Love, Serious, Dramatic, Sad, Hopeful","Time-Lapse, Food, Documentary, Road Trip, Lifestyle, Nature, Slow Motion","Acoustic Guitar, Backing Vocals","Country, Acoustic, Indie, Folk",110,A melancholic and eerie acoustic guitar piece. Perfect for a dramatic scene or as a background for a sad moment.,67,
Artlist,It's That Feeling - Instrumental Version,Ariel Shalom,Agitated,"Uplifting, Powerful, Carefree, Groovy, Exciting","Urban, Travel, Shorts","Percussion, Ethnic, Electronic Drums","World, Hip Hop",70,"This track is a very cool and energetic hip hop beat with an oriental flavor. The main instruments are the Turkish Oud and the traditional Turkish instrument called the Dumbek. The beat is very strong and energetic with a cool hip hop groove. This track is perfect for advertising, commercials, and video projects that need a cool and energetic hip hop beat with an oriental flavor.",68,
Artlist,No Land for a War Man - Short Version A,Wild Tulip,Sad,"Serious, Dramatic, Sad","Time-Lapse, Documentary, Road Trip, Urban, Drone Shots, Landscape, Nature, Slow Motion",Piano,"Cinematic, Acoustic, Classical",101,"A beautiful, emotional piano solo that evokes feelings of longing and nostalgia. The melody is simple and heartfelt, making it perfect for use in films, documentaries, and personal projects.",69,
Artlist,Oblivion Cult,Artlist Musical Logos,Agitated,"Uplifting, Powerful, Carefree, Groovy, Exciting","Technology, Sport & Fitness, Urban, Fashion, Industry, Travel, Commercial, Shorts, Intros & Logos","Electric Guitar, Acoustic Drums",Rock,83,"This is a powerful and energetic hard rock music track with catchy riffs, hard-hitting drums and a punchy bass. The powerful and energetic sound will make your video stand out and grab the attention of your audience. It will work well with action, sports, and commercials.",70,
Artlist,Chapter 2 - Short Version A,The Places,Vigorous,"Uplifting, Happy, Carefree, Love, Playful, Hopeful, Exciting","Business, Food, Education, Lifestyle, Urban","Mandolin & Ukulele, Acoustic Guitar, Acoustic Drums, Percussion, Backing Vocals, Keys","Acoustic, Corporate",125,"A cool and groovy track featuring a warm bass, acoustic guitar, electric guitar, piano, and drums. The mood is upbeat and positive, with a catchy and inspiring melody. The genre is pop, with a touch of folk and indie. This track would be perfect for use in corporate videos, advertisements, and commercials, as well as in vlogs and lifestyle videos.",71,
Artlist,Flow Free - Short Version,Manos Mars,Dreamy,"Uplifting, Carefree, Serious, Exciting","Business, Party, Fashion","Claps & Snaps, Bells, Synth, Keys, Pads","Cinematic, Electronic, Pop, Corporate",126,"A dreamy, reflective, and introspective indie pop track featuring electric guitar, strings, and piano. The soft and gentle instrumentation evokes a sense of longing and introspection, creating a calming and reflective mood. The track's gentle melody and harmonies make it suitable for use in cinematic moments, romantic scenes, or moments of contemplation. It could also work well in advertisements, vlogs, or YouTube videos that require a relaxed and emotional soundtrack.",72,
Artlist,Rancid Life - Short Version C,The Mind Sweepers,Agitated,"Powerful, Carefree, Serious, Angry, Exciting","Road Trip, Sport & Fitness, Urban, Fashion, Industry","Electric Guitar, Acoustic Drums, Synth",Rock,107,"A fun and upbeat rock track featuring electric guitars, bass, and drums. The catchy guitar riff and upbeat drums create a lively and energetic mood that is perfect for use in commercials, advertisements, and videos that need a boost of energy. The track is also suitable for use in sports, fitness, and workout videos as it motivates and inspires listeners to push themselves to their limits.",73,
Artlist,Mandolin & Guitars,Artlist Musical Logos,Calm,"Uplifting, Love, Peaceful, Hopeful","Business, Lifestyle, Medical, Drone Shots, Landscape, Nature, Weddings, Shorts, Intros & Logos","Mandolin & Ukulele, Acoustic Guitar, Bass","Country, Cinematic",120,"This is a beautiful, calm, and relaxing acoustic guitar background music. It features a soft acoustic guitar strumming with gentle bass and piano accompaniment. The music is perfect for background music, vlogs, YouTube videos, advertising, marketing, and more.",74,
Artlist,Dreaming - Short Version,Stanley Gurvich,Calm,"Peaceful, Hopeful","Time-Lapse, Documentary, Landscape, Slow Motion",Bells,"Ambient, Electronic",117,"A serene and contemplative ambient track featuring a delicate electric piano melody and subtle synth pads. This music has a calm and peaceful mood, making it suitable for scenes of reflection, contemplation, or quiet moments. It could also work well in documentaries, nature footage, or yoga videos.",75,
Artlist,The Truth Is Close,Artlist Musical Logos,Serious,"Serious, Dramatic, Dark","Technology, Science, Intros & Logos","Synth, Pads",Electronic,115,"A dark and suspenseful piece of electronic music with a tense atmosphere, perfect for cinematic moments, thrillers, and action scenes. The piano and strings provide a sense of drama and tension, while the pulsing beats and electronic elements create a sense of unease and anticipation. This music would be suitable for use in film, television, and video games.",76,
Artlist,Emotional String Section Intro,Artlist Musical Logos,Serious,"Serious, Dramatic, Hopeful, Epic, Mysterious","Drone Shots, Landscape, Slow Motion, Shorts, Intros & Logos","Strings, Bells, Orchestra","Cinematic, Fantasy",74,"This is a dramatic and emotional orchestral theme with a strong sense of awe and wonder. The music opens with a lush and sweeping string melody that builds into a full orchestral tutti. The theme is dramatic and intense, with a sense of grandeur and majesty. The music is perfect for use in film, television, and video games that require a sense of wonder and awe.",77,
Artlist,Cyber Warfare,Artlist Musical Logos,Serious,"Serious, Dramatic, Tense, Dark","Drone Shots, Landscape, Slow Motion, Shorts, Intros & Logos","Strings, Bells, Orchestra","Cinematic, Fantasy",81,"A dark and intense track with heavy guitars, bass, drums, and synths. The mood is suspenseful and ominous, with a feeling of danger and uncertainty. The main instruments are guitars, bass, drums, and synths. The genre/style is electronic, soundtrack, and instrumental. Suitable video or media use cases could include horror movies, thrillers, video games, and suspenseful scenes in movies or TV shows.",78,
Artlist,The Valley Man - Short Version A,Alon Ohana,Happy,"Uplifting, Happy, Carefree, Love, Peaceful, Playful, Hopeful","Food, Education, Lifestyle, Medical, Drone Shots, Landscape, Nature, Travel","Mandolin & Ukulele, Acoustic Guitar, Percussion, Claps & Snaps, Whistle, Electronic Drums","World, Pop, Children, Corporate",105,"A soft and warm music track with a whistling melody, acoustic guitar, piano, and a groovy hip-hop beat. The relaxed and gentle mood will evoke feelings of happiness and joy. It will certainly work well with corporate videos, business projects, presentations, commercials, advertising, TV ads, YouTube videos, vlogs, and more.",79,
Artlist,Dobro & Band 2,Artlist Musical Logos,Happy,"Uplifting, Happy, Carefree, Hopeful","Road Trip, Lifestyle, Landscape, Nature, Travel, Shorts, Intros & Logos","Mandolin & Ukulele, Acoustic Guitar, Electric Guitar, Acoustic Drums","Country, Folk",84,"A happy and carefree acoustic guitar plays a simple melody while a bass guitar and steady drum beat keep the rhythm. A pedal steel guitar plays a slide melody that adds a country feel to the track. The track has a laid back, relaxed vibe that is perfect for a summer day or a road trip. It would work well in a commercial for a car or a beer company.",80,
Artlist,Northern Saints - Short Version A,LMOP,Vigorous,"Uplifting, Happy, Carefree, Serious","Food, Education, Road Trip, Travel","Mandolin & Ukulele, Acoustic Drums","Country, Acoustic, Folk",77,"A quirky, energetic and playful folk track featuring acoustic guitars, mandolin, banjo, bass and drums. Perfect for advertising, commercials, children's videos, corporate presentations, travel, documentaries, YouTube videos, vlogs, and more.",81,
Artlist,Event Ceremony Logo,Artlist Musical Logos,Dreamy,"Uplifting, Carefree, Exciting","Technology, Lifestyle, Travel, Commercial, Vlog, Shorts, Intros & Logos","Synth, Keys","Electronic, Pop",78,"This is a powerful, energetic and dynamic royalty free electronic track with a modern vibe, featuring a powerful synth bass, big hits, plucks, and a catchy lead melody. Perfect for action, sports, trailers, games, or any other media projects that need a powerful and energetic soundtrack.",82,
Artlist,Positive Persistent Pluck Sequence 2,Artlist Musical Logos,Vigorous,"Uplifting, Happy, Carefree, Groovy, Exciting","Party, Fashion, Commercial, Intros & Logos","Synth, Backing Vocals, Electronic Drums",Electronic,125,"A groovy and energetic royalty free electronic track with cool piano, groovy bass, punchy drums, and vocal chops. Great for commercials, vlogs, sport videos, fashion, or workout content.",83,
Artlist,Melancholic Sonata,Artlist Musical Logos,Sad,"Love, Dramatic, Sad",Intros & Logos,Piano,"Cinematic, Classical",116,"The audio is a solo piano performance of a short, ominous melody. The piece is slow and dramatic, with a sense of tension and foreboding. The piano is played with a deep, rich tone, and the melody is played with a sense of melancholy and sadness. The piece would be well-suited for use in a horror film or video game, as it creates a tense and unsettling atmosphere.",84,
Artlist,Call from the Hills - Short Version B,Wild Tulip,Sad,"Love, Serious, Dramatic, Sad, Hopeful","Time-Lapse, Documentary, Road Trip, Landscape, Slow Motion",Piano,Cinematic,123,"A sentimental, nostalgic, and emotional piano solo with a sentimental and nostalgic mood. The main instruments are the piano. The genre/style is soundtrack, classical, and folk. This music is suitable for nostalgic, sentimental, and emotional scenes in movies, documentaries, and advertisements.",85,
Artlist,Space Race - Short Version,Dan Ayalon,Sad,"Serious, Dramatic, Sad",Science,"Acoustic Guitar, Bells, Synth","Ambient, Cinematic",65,"A mysterious and tense music track featuring acoustic guitar, strings, and percussion. The music is suspenseful and evokes a sense of intrigue and danger. The guitar is strummed with a steady rhythm, while the strings add a lush and dramatic sound. The percussion provides a subtle beat that keeps the music moving forward. The music is perfect for use in films, TV shows, and video games that require a sense of tension and mystery.",86,
Artlist,Otherworldly Tales Logo,Artlist Musical Logos,Serious,"Love, Dramatic, Dark, Mysterious","Time-Lapse, Documentary, Landscape, Slow Motion, Shorts, Intros & Logos","Piano, Strings, Backing Vocals, Pads","Ambient, Cinematic",75,"A dark, suspenseful, and dramatic track featuring piano, strings, and synths. The atmosphere is tense and unsettling, perfect for horror, suspense, and thriller projects.",87,
Artlist,The Valley Man - Short Version B,Alon Ohana,Happy,"Happy, Carefree, Love, Playful, Hopeful","Business, Time-Lapse, Food, Education, Lifestyle, Urban, Travel","Mandolin & Ukulele, Electric Guitar, Percussion, Claps & Snaps, Whistle, Backing Vocals, Electronic Drums","Cinematic, Children, Corporate",105,"A chill-out track with flute and synth. The mood is peaceful and relaxed. The main instruments are flute, synth, and percussion. The genre/style is instrumental, soundtrack, ambient. This track can be used in the background of a travel vlog, a meditation video, or a yoga session.",88,
Artlist,Warm Jamaica,Tomer Ben Ari,Vigorous,"Uplifting, Happy, Carefree, Playful","Food, Road Trip, Lifestyle, Fashion, Drone Shots, Landscape, Nature, Travel","Electric Guitar, Acoustic Drums, Percussion, Backing Vocals, Keys, Brass",Reggae,97,"The audio is a reggae song featuring a brass section, bass, and drums. The song is medium tempo with a groovy bass line and brass section melody. The song is a happy and fun reggae song with a catchy melody. This song would be perfect for a scene in a tropical island setting, such as a beach party or a summer vacation.",89,
Artlist,Freaky Boy,Damon Power,Vigorous,"Uplifting, Carefree, Groovy","Urban, Fashion, Commercial","Synth, Backing Vocals, Electronic Drums, Bass","Electronic, Hip Hop",130,"A trendy, upbeat, and energetic hip-hop instrumental with a catchy flute melody, hard-hitting drums, and a danceable beat. The mood is upbeat and celebratory, with a strong sense of confidence and self-assuredness. The main instruments include the flute, drums, and bass. The genre/style is hip-hop, trap, and dance. This instrumental would be perfect for use in commercials, vlogs, and workout videos.",90,
Artlist,Wonders of the Universe,Artlist Musical Logos,Serious,"Dramatic, Tense, Mysterious","Documentary, Shorts, Intros & Logos","Strings, Bells, Orchestra, Brass",Cinematic,130,"A mysterious and suspenseful orchestral track featuring strings, woodwinds, brass, and percussion. The music is slow and building, with a sense of tension and anticipation. The piece is ideal for use in film, television, and video games, particularly in scenes of intrigue, investigation, and mystery.",91,
Artlist,Fortitude - Short Version,Lance Conrad,Serious,"Uplifting, Serious, Dramatic, Hopeful, Exciting","Business, Technology, Time-Lapse, Lifestyle, Urban, Industry, Landscape, Shorts","Piano, Strings, Orchestra, Brass",Cinematic,128,"A cinematic track that builds from a minimal piano and strings introduction to a full orchestral crescendo. Perfect for trailers, film, TV, games, advertising, and more.",92,
Artlist,Counter,Artlist Musical Logos,Serious,"Serious, Angry, Tense, Scary, Dark","Trailer, Intros & Logos","Synth, Electronic Drums, Bass",Cinematic,90,"A dark, intense, and powerful cinematic track featuring heavy percussion, synths, and strings. The track is perfect for use in film, trailers, and video games, creating a sense of tension and drama.",93,
Artlist,Day One - Short Version A,Swirling Ship,Dreamy,"Uplifting, Carefree, Serious, Hopeful","Business, Education, Road Trip, Medical","Mandolin & Ukulele, Acoustic Guitar, Acoustic Drums, Percussion, Keys, Bass","Acoustic, Folk, Corporate",98,"A positive and uplifting instrumental featuring piano, ukulele, guitars, bass, drums, and percussion. The uplifting and inspirational mood will evoke feelings of joy, happiness, and positivity. This track is perfect for use in corporate videos, commercials, advertisements, movie soundtracks, and more.",94,
Artlist,Shaal Region - Short Version,Swirling Ship,Calm,"Carefree, Love, Peaceful, Playful, Hopeful","Business, Food, Education, Documentary, Road Trip, Medical, Nature, Weddings, Travel","Acoustic Guitar, Piano, Acoustic Drums","Cinematic, Acoustic, Folk",120,"A calm and warm acoustic guitar track that evokes feelings of happiness and positivity. The simple and melodic guitar picking is accompanied by a steady beat and subtle bass line. The gentle and soothing nature of this track makes it perfect for use in videos, commercials, and other media that require a calming and uplifting background.",95,
Artlist,Take Off - Short Version B,Swirling Ship,Dreamy,"Serious, Dramatic, Hopeful","Time-Lapse, Documentary, Medical, Slow Motion","Piano, Strings, Percussion","Cinematic, Acoustic",128,"A modern, confident and uplifting piece of music that builds throughout, featuring piano, strings, drums and a light electronic beat.",96,
Artlist,We Will Get There - Short Version A,Dan Ayalon,Vigorous,"Uplifting, Carefree, Hopeful",Road Trip,"Acoustic Guitar, Claps & Snaps","Acoustic, Folk, Corporate",89,"A cheerful and upbeat acoustic track with acoustic guitar, piano, claps, tambourine, and drums. The optimistic and uplifting mood will evoke feelings of happiness and joy. It will certainly work well with corporate videos, business projects, presentations, commercials, advertising, TV ads, YouTube videos, vlogs, and more.",97,
Artlist,Promised Land - Short Version B,Dan Ayalon,Agitated,"Serious, Dramatic, Angry, Groovy","Road Trip, Urban","Electric Guitar, Acoustic Drums, Vocal, Backing Vocals","Indie, Rock",65,"A groovy, upbeat, and energetic garage rock track with a catchy and melodic guitar riff, groovy bass, and punchy drums. The song has a lively and energetic vibe with a strong and powerful chorus. The genre of the song is garage rock, which is a subgenre of rock music that originated in the 1960s and 1970s in the United States. The song is perfect for use in commercials, advertising, and media that needs a high-energy and upbeat soundtrack.",98,
Artlist,New World - Short Version B,Ziv Moran,Sad,"Love, Peaceful, Serious, Dramatic, Sad, Hopeful","Time-Lapse, Road Trip, Urban, Landscape, Slow Motion","Electric Guitar, Piano, Acoustic Drums, Strings, Keys","Acoustic, Indie",73,A slow and reflective indie rock instrumental with a sense of longing and introspection. The guitar is the main instrument and it is accompanied by a simple beat and some strings. The mood is somber and contemplative.,99,
Artlist,"Variations on 'Ah, vous dirai-je, Maman' - Var. 3",Raviv Leibzirer,Humorous,"Playful, Funny","Education, Nature",Piano,Classical,162,This is a fast and lively ragtime piece. It is being played on a piano. It is a very energetic and playful piece. It would be good for a scene in a comedy movie where someone is trying to get out of a difficult situation. It could also be used in a video game to add some excitement and energy to the gameplay.,100,
envato,Energetic Funky Intro,Tonydrumer,Vigorous,"action, advertising, agent, big band, brass, breakbeat, catchy, commercial, cool, drums, energetic, fun, funk, funky, groove, horns, intro, investigation, james bond, late night show, logo, opener, positive, radio, retro, spy, tv show, upbeat, uplifting, vlog",,,,110,"Get groovy with this funky and upbeat royalty-free music track, featuring catchy guitar riffs, groovy bass lines, energetic drums, and fun horns. Perfect for use in advertising, TV commercials, movies, trailers, video games, and more.",101,
envato,Greatest Epic Opener,ArchitectSound,Agitated,"action, adventure, apocalyptic, battle, blockbuster, cinematic, cyberpunk, dark, dramatic, emotional, energetic, epic, fantasy, heroic, hollywood, inspirational, intense, legendary, majestic, monumental, orchestral, powerful, rising, soundtrack, suspense, tension, trailer, triumphant, uplifting, victory",,,,,"This is a powerful cinematic track with a dramatic and epic atmosphere. It features a full orchestra with strings, brass, woodwinds, and percussion. The main instruments are the strings and the brass, which create a powerful and majestic sound. The track is perfect for film, television, and video games. It is also suitable for advertising, marketing, and corporate videos.",102,
envato,Happy Halloween 4,Anandavana,Humorous,"cartoon, castle, celebrate, cheerful, children, comedy, crafty, crotales, funny, halloween, happy, harpsichord, haunted, holiday, ident, movie, music, mystical, night, pizzicato, playful, positive, show, simple, trailer, trick or treat, tv, uplifting, vampire, witch",,,,144,"A fast-paced, playful piece with a mischievous vibe. Features pizzicato strings, woodwinds, and harpsichord. Great for comedies, cartoons, and Halloween projects.",103,
envato,Minor Ragtime Loop,EasyTunes,Happy,"bar, cheerful, comical, dance, dancing, early jazz, funny, happy, historical, humorous, joke, joyful, jazz, kids, loop, laughter, mischievous, movement, new orleans, old film, old movie, old recording, parody, piano, retro, ragtime, saloon, swing, smile",,,,195,"A happy and playful ragtime piano piece. Perfect for funny videos, retro games, cartoons, comedy, or any project that needs a fun and cheerful retro piano sound.",104,
envato,Sad Piano,PineAppleMusic,Sad,"agony, autumn, ballad, classical, deep, depress, drama, emotional, gentle, intimacy, lonely, love, lyrical, melancholy, mellow, memories, nostalgic, piano, quiet, sad, sadness, sensitive, sentimental, slow, sorrowful, thoughtful, touching, warm, winter",,,,90,"A subtle, delicate and thoughtful piano piece with subtle synth textures. Calm, thoughtful and reflective.",105,
envato,The Happy Intro,Korolkov,Vigorous,"advertising, fitness, beach, blog, business, commercial, corporate, drone, electronic, elegant, energetic, game, jog, instagram, intro, landscape, future bass, modern, opener, powerful, presentation, promo, review, sport, summer, tik-tok, trap, traveling, vlog, youtube",,,,150,"A modern, upbeat and stylish electronic track with a dynamic and powerful sound. The track features catchy synthesizers, a powerful beat, and a groovy bassline. The mood of the track is energetic, uplifting, and inspiring. This track is perfect for use in commercials, advertisements, and promotional videos. It will also work well in sports videos, fitness videos, and vlogs.",106,
envato,For Kids,Eugene_Barduja,Happy,"acoustic, ad, advert, advertising, advertisment, background, carefree, cheerful, children, claps, commercial, corporate, easy, guitar, happy, inspirational, joyful, merry, motivational, optimistic, organ, playful, positive, succesful, success",,,,130,"A happy and cheerful track with ukulele, whistle, claps, bass, and drums. It's perfect for corporate videos, commercials, advertisements, podcasts, and more.",107,wav
envato,Sad Cinematic Background Loop,bdProductions,Sad,"emotional, background, sad, inspiring, loop, voiceover, youtube, podcast, cinematic, piano, bittersweet",,,,56,"A sad and dramatic piece with a solo piano, a double bass, and a choir. The atmosphere is very dramatic and suspenseful.",108,wav
envato,Inspiration,Stockwaves,Calm,"acoustic, advertising, business, calm, commercial, corporate, creative, emotional, energy, hopeful, innovative, inspiring, joyful, modern, motivational, optimistic, piano, positive, presentation, smooth, strings, successful, technology, travel, uplifting, video, wonderful",,,,102,"A sentimental and emotional piano and orchestra piece that evokes feelings of love, nostalgia, and wonder. The lush strings and warm piano create a romantic and heartfelt atmosphere, while the gentle bells add a touch of magic and wonder. This piece would be perfect for a wedding scene, a romantic montage, or a nostalgic memory.",109,
envato,Childrens Loop,plastic3,Dreamy,"background, beautiful, bells, celebration, children, christmas, youtube, corporate, family, fun, game, happy, holiday, jingle, joyful, kids, logo, loop, music, tiktok, opening, optimistic, party, positive, ringtone, santa, video, website, xmas, instagram",,,,140,"This upbeat electronic track features a warm piano melody, groovy bass, and a punchy beat. It has a positive and uplifting mood that is perfect for corporate videos, business projects, presentations, commercials, advertising, TV ads, YouTube videos, vlogs, and more.",110,wav
envato,Power Up,Adigold,Agitated,"motivational, driving, upbeat, positive, powerful, dynamic, fresh, lively, modern, rhythmic, exciting, groovy, energetic, pumping, electrifying, vibrant, intense, twitch, uplifting, inspiring, beat, synth, melody, exhilarating, youtubers",,,,130,"This is a dynamic and powerful royalty-free dubstep logo with a lot of energy and punchy beats. The track features edgy synths, bass, percussion, and sound effects. It is ideal for action scenes, extreme sports, games, and trailers.",111,
envato,Creeping Prank,Nuclearmetal,Humorous,"background, bells, cartoon, comedy, crazy, creepy, dark, enchanted, fear, fun, halloween, horror, inspiring, intense, intro, kids, loop, magic, movie, mystery, nightmare, orchestra, power, prank, quirky, scary, sneaky, spooky, strings, terrifying",,,,,"A short, quirky and funny track featuring glockenspiel, vibraphone, pizzicato strings, and other quirky instruments. It has a playful, sneaky, and funny mood.",112,
envato,Horror Trailer,OhmLab,Serious,"horror, suspense, scary, freaky, haunting, chilling, atmospheric, creepy, psychological, fear, fright, frightful, dark, zombie, soundscape, trailer, commercial, background, cinematic, movie, thriller, action, haunted, ghost, soundtrack, terrifying, eerie, sinister, spooky, halloween",,,,145,"Dark and eerie atmospheric soundscape. Scary horror soundtrack with dark ambient sound effects. Scary horror background music with creepy atmospheric sounds. Perfect for cinematic horror, scary scenes, tension, horror trailers, suspense, fear, horror movies, halloween, and more.",113,
envato,Convicted,Purpleplanet,Serious,"dramatic, epic, tense, tension, cliff hanger, ending, scene, film, drama, climatic, climax, finale, danger, dangerous, strings, orchestral, production, music, background, short, dominant, series, tv, conclusion, final, nervous, adrenaline",,,,,A cinematic and orchestral piece that evokes the feeling of a dramatic news report. The piece opens with a slow and steady string melody that is joined by a brass melody and a deep timpani roll. The music then builds to a crescendo and ends with a powerful and epic string melody.,114,
envato,Happy Snowflake,scottwills,Calm,"piano, happy, positive, carefree, childlike, magical, innocence, peaceful, free, wonder, fairy, classical, video, delicate, love, loving, lovely, web, presentation",,,,100,"A soft and warm piano track, full of emotions and tender feelings. This music is suitable for background music, romantic scenes, and touching moments.",115,
envato,Upbeat Jazz Intro,Tonydrumer,Vigorous,"advertise, background, big band, carefree, children, comedy, commercial, cooking, easy, explainer, fast, food, fresh, fun, funny, guitar, happy, hey, jazz, joy, kids, modern, piano, short, show, swing, trumpet, upbeat",,,,115,"This upbeat, groovy, and funky track features a catchy bass line, groovy drums, and a catchy guitar riff. The brass section adds a festive and celebratory feel to the track. The song is perfect for advertising, commercials, and corporate videos that need a fun and upbeat soundtrack.",116,
envato,Documentary Background Loop,bdProductions,Serious,"ambient, atmospheric, background, documentary, dramatic, gentle, inspiring, light, piano, voiceover, youtube, loop",,,,108,"A smooth and ambient electronic track featuring a marimba, bass, drums, and various synth textures. The mood is relaxed and easygoing, with a subtle sense of tension. This track is good for technology, science, and documentaries.",117,wav / 17S
envato,Circus Game,WormwoodMusic,Humorous,"accordeon, arcade, cartoon, cartoonish, circus, clown, clowns, comedy, game, gameplay, greek, italian, loop, main menu, mandolin, menu, pasta, pirate, pizza, platform, tarantella, video game, wine",,,,130,"A fun and quirky track with a retro vibe. Featuring a bouncy bass, plucky ukulele, quirky trumpets, and playful percussion. Great for comedies, cartoons, and kids' shows.",118,
envato,Deck The Halls Intro Opening,ABSounds,Dreamy,"christmas, xmas, deck the halls, carol, opening, fanfare, winter, holiday, santa, snow, bells, jingle bells, intro, merry, merry christmas, festive, grand opening, grand christmas, bright, christmas opening, sleigh bells, magic, advertising, celebration, solemn, orchestral, inspiring, new year, triumphant, opener",,,,155,"A powerful and dramatic orchestral Christmas track with bells, piano, strings, brass, choir, and drums. Perfect for advertising, Christmas videos, TV, and more.",119,wav
envato,Learn Grow,gballx,Dreamy,"advert, baby, child, children, joyous, kids, love, lovingly, piano, pizzicato, positive, promo, soft, sweet, tender, uplifting, warm",,,,112,"A short, simple, and light piano piece. The music has a warm and gentle feeling, with a subtle, but memorable melody. The piano plays the melody, with strings and harp adding a gentle background. The music is perfect for commercials, advertisements, and other corporate uses.",120,
envato,Spring Acoustic Guitar,VICTORMUSIC,Calm,"acoustic, acoustic guitar, advert, advertisement, advertising, animation, background, bells, bright, carefree, cheerful, commercial, corporate, fingerstyle, guitar, happy, indie, inspirational, inspiring, jingle, joyful, light, motivational, optimistic, peaceful, positive, simple, upbeat, uplifting",,,,80,"A soft and warm, acoustic folk royalty free music track, with a guitar, piano, glockenspiel, bells, bass and drums, best for ads, family, nature, vlogs, and romance.",121,
envato,Summer Opener Podcast Intro,PaBlikMM,Happy,"summer, ukulele, inspiring, opener, trailer, vlog, intro, happy, fun, holiday, vacation, kids, children, play, beach, sun, sunny, sea, seaside, coast, sand, waves, chilling, chill, peaceful, groove, guitar, percussion",,,,110,"This one is a groovy, upbeat, upbeat, positive royalty-free summer pop track, with funky guitars, claps, cool bass, vocal chops, claps, whistle, and drums, best for vlogs, advertising, promos, travel, lifestyle, or cooking contents.",122,
envato,Ready Go!,PaBlikMM,Vigorous,"funky, opener, trailer, intro, upbeat, happy, funny, clapping, hammond, guitar, drums, groovy, groove, sport, videos, clips, summer, spring, funk, motivational, commercial, advertising, brand, short clip, ad, app",,,,120,"A groovy, funky and upbeat track featuring funky guitars, bass, drums, brass and horns. It has a catchy and uplifting feel that will get your foot tapping and your body moving. It would be great for use in advertising, commercials, sports, or any project that needs a fun and upbeat background track.",123,
envato,A Dark War Horn,Antracto,Serious,"atmosphere, background, bagpipe, beautiful, calm, cinematic, dark, deep, desert, documentary, emotional, epic, fantasy, film, game, horn, ident, intro, logo, meditation, melodic, movie, mystery, sacred, sad, trailer, war, woodwind, zhaleika",,,,,"A powerful and epic track with a dark and moody atmosphere. Featuring a powerful and emotional trumpet melody over a huge orchestral arrangement. Perfect for trailers, games, and films.",124,
envato,Soft Piano Intro Logo,Tonydrumer,Calm,"ambient, background, beautiful, beauty, branding, calm, clean, commercial, company, corporate, elegant, gentle, ident, info, inspirational, intro, light, logo, modern, opener, piano, positive, presentation, reveal, short, smooth, soft, sting, stinger, stylish",,,,,"A beautiful and emotional piano intro. This is a short, emotional piano intro, with a sense of longing and nostalgia. This would be perfect for a short, emotional intro to a podcast, a video game, or any project that needs a short, emotional piano intro.",125,
envato,Wrongs,_Blacksmith_,Sad,"advertisment, background, beautiful, classic, commercial, death, depressive, despair, farewell, feeling, film, game, hope, love, melancholy, mellow, memories, movie, pain, piano, promo, romantic, sad, sadness, soundtrack, sentimental",,,,,"A beautiful and sentimental solo piano piece that has a nostalgic and nostalgic feel. This music is very soft and warm, with a romantic and intimate mood.",126,wav
